draw_id,n1,n2,n3,n4,n5
4154,3,15,16,23,30
4153,8,11,12,22,45
4152,21,24,36,41,45
4151,17,20,36,43,44
4150,10,19,21,33,40
4149,4,18,33,40,42
4148,7,9,22,24,38
4147,6,8,13,27,40
4146,10,26,31,33,34
4145,11,36,39,41,45
4144,19,20,25,39,42
4143,9,10,14,21,34
4142,9,10,26,42,44
4141,8,9,18,31,33
4140,2,11,23,34,38
4139,2,4,15,34,44
4138,11,14,18,29,36
4137,6,25,28,37,44
4136,2,6,11,24,39
4135,2,3,12,28,38
4134,4,26,35,36,40
4133,15,18,27,34,44
4132,2,6,28,37,39
4131,9,14,22,29,42
4130,11,23,27,30,36
4129,12,18,32,36,37
4128,12,16,18,28,39
4127,5,19,21,40,41
4126,12,32,35,38,43
4125,1,26,33,34,40
4124,15,22,30,36,43
4123,7,15,18,40,43
4122,6,11,19,20,21
4121,15,29,32,36,38
4120,17,23,31,33,39
4119,10,31,34,38,43
4118,1,21,26,30,43
4117,7,13,28,35,41
4116,6,31,32,42,44
4115,3,5,13,31,36
4114,3,12,21,29,36
4113,2,14,28,34,39
4112,21,33,38,39,41
4111,1,12,18,39,42
4110,5,13,18,35,36
4109,2,6,7,13,37
4108,5,23,24,34,37
4107,12,18,19,22,35
4106,5,7,21,25,44
4105,6,15,35,36,39
4104,8,12,29,32,39
4103,5,10,16,21,22
4102,4,13,28,31,42
4101,5,15,19,29,43
4100,3,13,14,26,32
4099,1,9,10,15,28
4098,7,23,26,40,45
4097,13,29,36,39,43
4096,3,9,18,28,29
4095,19,20,31,32,45
4094,22,29,37,38,41
4093,4,17,35,41,44
4092,2,10,26,34,44
4091,3,7,11,32,39
4090,2,23,28,37,42
4089,5,11,20,26,32
4088,8,17,18,38,42
4087,3,22,30,36,37
4086,11,21,22,26,43
4085,10,15,25,35,36
4084,4,15,20,31,44
4083,4,6,12,18,29
4082,1,9,21,32,36
4081,5,6,14,17,32
4080,16,19,36,38,44
4079,4,31,35,41,44
4078,4,17,24,31,40
4077,2,14,32,33,35
4076,10,28,30,33,45
4075,6,7,10,27,29
4074,6,27,31,41,44
4073,2,17,20,23,36
4072,3,12,26,37,40
4071,12,25,33,34,43
4070,12,15,24,25,43
4069,17,32,34,37,44
4068,6,22,37,42,44
4067,1,18,24,25,30
4066,9,10,23,26,27
4065,2,3,12,29,39
4064,4,27,37,39,41
4063,6,8,9,33,34
4062,17,20,28,37,44
4061,7,19,29,30,41
4060,7,23,27,40,45
4059,4,18,38,41,43
4058,4,16,17,19,42
4057,8,13,19,23,32
4056,11,18,19,33,35
4055,4,21,29,39,44
4054,8,25,26,30,38
4053,20,25,32,43,45
4052,1,12,14,31,39
4051,7,8,10,22,30
4050,17,31,33,38,39
4049,1,22,24,31,45
4048,3,11,35,38,40
4047,1,2,10,13,40
4046,25,27,34,35,45
4045,3,4,5,16,28
4044,8,10,31,35,38
4043,12,25,30,36,37
4042,10,28,32,42,44
4041,2,6,8,20,44
4040,15,21,23,29,45
4039,3,27,36,37,42
4038,8,12,28,30,35
4037,1,4,19,32,35
4036,2,12,14,23,27
4035,1,2,10,40,45
4034,9,15,31,41,42
4033,3,17,18,33,34
4032,8,12,15,30,45
4031,3,23,26,41,45
4030,7,18,19,27,33
4029,21,22,33,42,43
4028,1,2,11,36,41
4027,8,9,33,43,44
4026,3,8,17,33,40
4025,2,3,4,30,35
4024,7,14,19,36,42
4023,1,7,8,22,44
4022,3,14,15,21,35
4021,5,6,12,28,31
4020,16,17,21,39,44
4019,19,20,28,33,39
4018,21,23,30,32,40
4017,15,21,30,39,45
4016,1,18,23,30,44
4015,21,24,31,34,42
4014,9,19,23,24,41
4013,6,15,17,18,32
4012,9,15,30,34,43
4011,3,12,16,26,38
4010,2,4,13,17,35
4009,11,13,32,37,44
4008,16,18,20,33,36
4007,2,4,5,12,24
4006,6,11,30,34,40
4005,12,19,28,35,44
4004,15,24,27,37,39
4003,6,20,21,22,32
4002,7,9,25,38,39
4001,6,14,29,36,45
4000,19,21,23,27,37
3999,5,12,14,38,39
3998,21,23,26,31,33
3997,8,16,20,30,31
3996,2,14,27,35,44
3995,19,26,40,41,45
3994,2,16,22,38,43
3993,9,22,26,32,37
3992,17,30,31,34,39
3991,4,6,12,15,26
3990,10,14,17,20,40
3989,3,13,28,36,41
3988,13,28,33,44,45
3987,18,20,22,28,32
3986,1,14,22,38,41
3985,10,24,26,30,37
3984,3,5,18,24,41
3983,10,21,33,40,42
3982,7,11,13,20,21
3981,18,20,22,24,27
3980,17,24,32,33,39
3979,5,6,26,30,40
3978,1,6,19,26,43
3977,1,8,16,23,33
3976,2,8,15,32,38
3975,12,32,33,37,43
3974,1,11,17,28,40
3973,7,13,16,24,37
3972,1,15,23,26,34
3971,1,2,3,4,6
3970,4,10,11,25,33
3969,25,28,29,30,35
3968,7,19,22,35,44
3967,31,33,35,44,45
3966,11,20,22,28,30
3965,18,20,27,39,44
3964,1,15,17,30,31
3963,4,10,22,34,41
3962,17,22,33,39,40
3961,8,10,30,32,38
3960,4,7,32,35,42
3959,19,21,29,30,33
3958,8,20,31,32,39
3957,4,16,23,32,40
3956,12,17,18,29,36
3955,5,18,20,23,25
3954,3,18,32,34,43
3953,2,9,12,15,30
3952,2,10,18,30,40
3951,8,20,21,28,40
3950,1,18,37,40,45
3949,2,4,29,33,43
3948,1,2,4,14,15
3947,1,4,6,8,12
3946,3,14,19,21,42
3945,15,21,30,34,45
3944,28,29,31,39,43
3943,2,10,17,32,40
3942,2,7,10,38,40
3941,3,19,22,23,40
3940,24,25,28,29,34
3939,6,7,29,31,44
3938,3,16,22,25,45
3937,12,13,18,26,33
3936,20,22,23,35,43
3935,9,17,23,27,44
3934,2,16,33,34,45
3933,7,29,30,35,45
3932,4,8,12,23,24
3931,12,17,28,37,40
3930,21,22,23,35,37
3929,2,20,34,43,44
3928,5,20,26,40,43
3927,2,3,4,39,40
3926,6,25,30,35,44
3925,10,21,26,35,42
3924,10,11,23,41,44
3923,9,11,24,32,39
3922,5,16,17,20,24
3921,13,29,32,36,43
3920,17,25,31,34,45
3919,10,16,18,24,36
3918,9,16,26,28,32
3917,1,14,37,41,43
3916,2,5,12,24,32
3915,1,17,23,27,29
3914,9,15,17,26,31
3913,6,11,12,19,35
3912,8,25,38,41,45
3911,10,21,22,25,35
3910,9,22,25,27,36
3909,6,14,20,25,33
3908,11,25,27,34,41
3907,21,29,38,39,44
3906,3,15,16,18,45
3905,7,8,9,11,30
3904,5,11,18,35,36
3903,7,15,30,33,35
3902,4,7,10,36,38
3901,5,9,18,26,28
3900,23,25,33,42,43
3899,1,11,19,30,39
3898,5,6,15,30,45
3897,21,25,33,34,41
3896,13,21,25,27,33
3895,3,18,28,37,44
3894,11,20,22,28,29
3893,3,6,11,18,19
3892,1,5,32,43,44
3891,7,20,32,34,35
3890,3,13,18,30,42
3889,9,12,33,34,36
3888,18,22,26,39,42
3887,30,31,34,41,45
3886,20,23,29,39,44
3885,18,19,28,35,42
3884,3,5,19,20,44
3883,9,23,24,25,39
3882,9,19,20,27,32
3881,15,21,34,37,40
3880,5,19,21,32,37
3879,3,4,23,25,44
3878,3,8,18,41,43
3877,7,9,32,42,45
3876,6,17,18,21,23
3875,18,20,30,37,38
3874,18,19,23,28,34
3873,2,6,8,15,19
3872,4,19,32,41,43
3871,6,33,34,43,45
3870,1,25,26,35,45
3869,6,16,19,27,32
3868,9,28,32,33,43
3867,4,14,24,31,41
3866,1,16,23,29,44
3865,5,6,21,23,38
3864,1,6,12,15,34
3863,13,15,20,29,40
3862,3,19,22,32,39
3861,7,12,16,22,31
3860,1,8,20,26,30
3859,9,23,28,36,37
3858,21,22,32,39,44
3857,2,5,13,22,41
3856,5,8,11,13,17
3855,1,5,7,9,11
3854,7,10,14,31,34
3853,3,17,29,43,44
3852,14,37,40,42,44
3851,7,12,26,29,36
3850,1,9,11,25,29
3849,4,7,14,18,43
3848,14,23,26,29,41
3847,2,4,8,32,41
3846,4,11,30,32,33
3845,13,25,29,43,45
3844,8,10,11,22,32
3843,1,5,8,10,35
3842,4,8,11,39,40
3841,6,7,14,23,32
3840,3,17,25,37,38
3839,15,24,35,42,45
